               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11845,            0.053937,                   0,            0.063094,             0.15385,            0.016933,           0.0028242,            0.067041,            0.028065,                   0,               4e-05,               4e-05,             0.09964
                   1,             0.11099,            0.039378,                   0,             0.09006,            0.076923,            0.012912,           0.0035578,            0.064899,            0.027199,                   0,          8.9944e-05,          8.9944e-05,             0.09919
                   2,             0.11034,            0.042541,                   0,             0.11523,            0.076923,            0.015212,           0.0036556,            0.062548,            0.026391,                   0,          0.00013965,          0.00013965,             0.09874
                   3,             0.10632,            0.044381,                   0,             0.32543,            0.076923,            0.031658,           0.0032048,            0.060323,            0.025743,                   0,          0.00018895,          0.00018895,            0.098289
                   4,            0.088861,            0.044065,                   0,             0.29353,            0.076923,            0.035027,           0.0088497,            0.058357,            0.025181,                   0,          0.00023764,          0.00023764,            0.097838
                   5,            0.085665,            0.044049,                   0,             0.11556,            0.071116,            0.024243,           0.0055631,              0.0565,            0.024749,                   0,          0.00028555,          0.00028555,            0.097386
                   6,            0.083696,            0.038701,                   0,            0.087486,            0.076923,            0.021287,            0.004178,            0.054758,            0.024264,                   0,          0.00033251,          0.00033251,            0.096933
                   7,            0.085423,            0.044499,                   0,             0.18366,            0.076923,            0.039588,           0.0089663,            0.052608,            0.023856,                   0,          0.00037834,          0.00037834,            0.096478
                   8,            0.081247,            0.045638,                   0,              0.1182,             0.23077,            0.063332,            0.017152,            0.049984,            0.023609,                   0,          0.00042288,          0.00042288,            0.096023
                   9,            0.073682,            0.043228,                   0,             0.43658,             0.23077,             0.25659,            0.067814,            0.047013,            0.023315,                   0,          0.00046597,          0.00046597,            0.095566
                  10,            0.072756,            0.049498,                   0,             0.54399,             0.45906,             0.37041,             0.10068,            0.045378,            0.022967,                   0,          0.00050744,          0.00050744,            0.095107
                  11,            0.072376,            0.046235,                   0,             0.77192,             0.53846,             0.57555,             0.23651,            0.043391,            0.022548,                   0,          0.00054717,          0.00054717,            0.094647
                  12,            0.067154,             0.04414,                   0,             0.89817,             0.67967,             0.74616,             0.32687,            0.041299,            0.021617,                   0,            0.000585,            0.000585,            0.094185
                  13,            0.060756,            0.040336,                   0,             0.89105,             0.69231,             0.78914,             0.31028,            0.040191,            0.020659,                   0,           0.0006208,           0.0006208,            0.093721
                  14,             0.06306,            0.043695,                   0,             0.73315,             0.84541,             0.74433,             0.33094,            0.037664,            0.019431,                   0,          0.00065447,          0.00065447,            0.093254
                  15,            0.065494,            0.054652,                   0,             0.90778,             0.76923,             0.82928,             0.45104,            0.035671,             0.01899,                   0,          0.00068588,          0.00068588,            0.092786
                  16,            0.058061,            0.044942,                   0,             0.90898,             0.76827,             0.85501,             0.51514,            0.033418,            0.018201,                   0,          0.00071493,          0.00071493,            0.092315
                  17,            0.056787,            0.032297,                   0,              0.8325,             0.76923,             0.77374,              0.4158,            0.033576,            0.017616,                   0,          0.00074154,          0.00074154,            0.091842
                  18,            0.058967,            0.030622,                   0,             0.85539,             0.92308,             0.90526,             0.55101,            0.030622,             0.01712,                   0,          0.00076563,          0.00076563,            0.091366
                  19,            0.054915,            0.037123,                   0,             0.66641,             0.92308,             0.76711,             0.51195,            0.029259,            0.016956,                   0,          0.00078714,          0.00078714,            0.090887
                  20,            0.054262,            0.031968,                   0,             0.91659,             0.84535,             0.89986,              0.5212,            0.027568,            0.016911,                   0,            0.000806,            0.000806,            0.090406
                  21,            0.054481,            0.046247,                   0,              0.8456,             0.84615,             0.84772,             0.41163,            0.029724,            0.016424,                   0,          0.00082218,          0.00082218,            0.089922
                  22,            0.049255,            0.048008,                   0,             0.83267,             0.76923,             0.81585,             0.48384,            0.028949,            0.015188,                   0,          0.00083566,          0.00083566,            0.089436
                  23,            0.051698,            0.038088,                   0,             0.99999,             0.76923,             0.89687,             0.66006,            0.024768,            0.015189,                   0,          0.00084641,          0.00084641,            0.088946
                  24,            0.047347,            0.035102,                   0,             0.85709,             0.92308,             0.89909,             0.64508,            0.024482,            0.014829,                   0,          0.00085443,          0.00085443,            0.088454
                  25,            0.042374,            0.042218,                   0,             0.85538,             0.91074,             0.89999,             0.59086,            0.025468,            0.014687,                   0,          0.00085974,          0.00085974,             0.08796
                  26,            0.043031,            0.031756,                   0,             0.99503,             0.69231,             0.87387,             0.48085,            0.025333,            0.014035,                   0,          0.00086237,          0.00086237,            0.087462
                  27,            0.050058,             0.03415,                   0,             0.66539,             0.91807,             0.76484,             0.39465,            0.028563,            0.013053,                   0,          0.00086235,          0.00086235,            0.086962
                  28,            0.040207,            0.036255,                   0,             0.66644,             0.92308,             0.80421,             0.40912,            0.028386,            0.012343,                   0,          0.00085973,          0.00085973,             0.08646
